# Z  symbol            a[0..4]                                  b[0..4]
 61  Pm  +5.26774445089444576e+00 +2.30855813326305004e+00 +4.93265479026012810e-01 +4.86356279741696623e-02 +1.96308842320675196e-04  +1.33602096827394607e+01 +1.22585856586941699e+00 +2.82919632127866916e-01 +3.14735397127137925e-02 +7.17658025069615253e-04
 62  Sm  +5.12680428517077580e+00 +2.26925534008380581e+00 +5.04209300453302478e-01 +4.56923992416222030e-02 +1.88675050493886191e-04  +1.31581501026129004e+01 +1.18129508243337100e+00 +2.77107038219062907e-01 +2.97957604549544605e-02 +6.94011099199098283e-04
 63  Eu  +4.97962359749809202e+00 +2.24183087455669483e+00 +5.12933961402893712e-01 +4.29801848498334374e-02 +1.81381692485787588e-04  +1.28392663078033795e+01 +1.14705446420485990e+00 +2.70387160935243676e-01 +2.82418714952601992e-02 +6.71486603173992416e-04
 64  Gd  +5.07835830045611392e+00 +1.95744027181658997e+00 +5.92825983221375141e-01 +4.19502034143925603e-02 +1.75241091528316798e-04  +1.05132725469047301e+01 +1.11764941281524610e+00 +2.84386741833675183e-01 +2.72663327641347111e-02 +6.50310860707303687e-04
 65  Tb  +4.71161636657300065e+00 +2.17261950786578906e+00 +5.39717601342865727e-01 +3.79796004547811109e-02 +1.66923763564841700e-04  +1.23109415948539098e+01 +1.08743796767492507e+00 +2.59804965509275509e-01 +2.53289923895189707e-02 +6.29278566961911164e-04
 66  Dy  +4.59075504485146624e+00 +2.13572373036567420e+00 +5.51355560094152541e-01 +3.56058406718513798e-02 +1.59824016856789788e-04  +1.20656740623369902e+01 +1.05811737115864402e+00 +2.53994438918661802e-01 +2.39508739649649215e-02 +6.09482748433288059e-04
 67  Ho  +4.48400110626710813e+00 +2.08904347078539798e+00 +5.65932618316104641e-01 +3.32703590211062966e-02 +1.52445610282892088e-04  +1.18749250691570598e+01 +1.02828493708789592e+00 +2.48907807908076012e-01 +2.25844065532147809e-02 +5.90374445159424469e-04
 68  Er  +4.37665140786963214e+00 +2.04645150383634089e+00 +5.80662860591587671e-01 +3.12388528327766715e-02 +1.45374869662535705e-04  +1.16653080717139499e+01 +1.00314769675495308e+00 +2.44153292686312390e-01 +2.13618580000730987e-02 +5.72110338454766623e-04
 69  Tm  +4.28308318247419528e+00 +1.99538001453730707e+00 +5.97053571332504252e-01 +2.90951668869559900e-02 +1.38064769037521596e-04  +1.14961905956683399e+01 +9.77039102018820604e-01 +2.39429132975829101e-01 +2.00912233327255815e-02 +5.54377138492266261e-04
 70  Yb  +4.19563840737123339e+00 +1.94333285978645609e+00 +6.12446617285465789e-01 +2.71515207694932384e-02 +1.30594787351929711e-04  +1.14107750456652308e+01 +9.49011924454877365e-01 +2.34950326535304704e-01 +1.89051576280975485e-02 +5.37233649209711080e-04
 71  Lu  +4.35692593296384256e+00 +1.69589204777315894e+00 +6.63904520068470450e-01 +2.63020018760281409e-02 +1.25497318499823813e-04  +9.29434514718568927e+00 +9.10500045957419957e-01 +2.38746595911376397e-01 +1.82098542546462287e-02 +5.21559371963562163e-04
 72  Hf  +4.33138405664923543e+00 +1.52764864728680694e+00 +7.35795922891237963e-01 +2.49526323201402604e-02 +1.18740852581057801e-04  +7.87684433810288365e+00 +9.42515642627748784e-01 +2.41699480039805986e-01 +1.72899894448509013e-02 +5.05834631313525581e-04
