# Z  symbol            a[0..4]                                  b[0..4]
 56  Ba  +6.57017126000000040e+00 +2.36568499000000010e+00 +1.44286602000000014e-01 +1.85714981999999997e-03 +4.73302403999999979e-12  +1.38561093000000000e+01 +9.86095364999999946e-01 +7.25103051000000054e-02 +3.72885986000000020e-03 +4.74718953999999980e-06
 57  La  +6.55883708999999993e+00 +2.19719267000000018e+00 +1.35824898999999999e-01 +1.64533959000000003e-03 +9.06866120000000014e-12  +1.13815401999999999e+01 +9.15736121999999986e-01 +6.80234663000000017e-02 +3.39599373000000005e-03 +5.67986140000000019e-06
 58  Ce  +6.32392981000000010e+00 +2.22685358000000022e+00 +1.28745596999999989e-01 +1.47101131999999996e-03 +5.20531612999999985e-14  +1.11650583000000001e+01 +8.87587816000000029e-01 +6.42477513999999972e-02 +3.10713295999999993e-03 +9.99999999999999955e-07
 59  Pr  +5.99692179000000003e+00 +2.35756544000000012e+00 +1.15407474999999995e-01 +1.10529544000000004e-03 +1.86946220000000013e-11  +1.26669982999999995e+01 +8.58525285999999999e-01 +5.79609158999999999e-02 +2.52510540999999981e-03 +6.62689107999999986e-06
 60  Nd  +5.07224096000000024e+00 +1.97003912999999997e+00 +1.13264955000000000e+00 +6.88504107000000032e-02 +2.19952635999999990e-04  +1.41669868000000001e+01 +1.99059767000000010e+00 +4.84979042999999999e-01 +3.89811004999999974e-02 +7.46457100999999988e-04
 61  Pm  +4.95566964999999993e+00 +1.90417857999999995e+00 +1.16210765999999999e+00 +6.63298011000000021e-02 +2.14308804000000008e-04  +1.40004501999999995e+01 +1.92765029000000010e+00 +4.77278248000000016e-01 +3.75505536000000015e-02 +7.22193391000000053e-04
 62  Sm  +4.85134453000000043e+00 +1.83026890000000009e+00 +1.17180339000000000e+00 +6.38744375000000059e-02 +2.08747785999999989e-04  +1.36432049000000006e+01 +1.83286473000000005e+00 +4.65387718000000006e-01 +3.61921378000000030e-02 +6.99090837999999989e-04
 63  Eu  +4.73860279999999978e+00 +1.80352102000000003e+00 +1.15059561000000010e+00 +6.05777901000000008e-02 +2.02782697999999987e-04  +1.33464741999999994e+01 +1.73476279999999994e+00 +4.44912839999999976e-01 +3.45977140000000016e-02 +6.76916520000000045e-04
 64  Gd  +4.71623874999999959e+00 +1.65863183000000003e+00 +1.20522148000000007e+00 +5.77114152999999991e-02 +1.96519659999999999e-04  +1.11721289000000006e+01 +1.84494435999999995e+00 +4.36265879000000023e-01 +3.30998649999999991e-02 +6.55677006999999990e-04
 65  Tb  +4.50858866999999996e+00 +1.71336923000000008e+00 +1.17724160000000011e+00 +5.56090374999999998e-02 +1.91459487000000003e-04  +1.29240265999999995e+01 +1.65022768999999991e+00 +4.21162105999999981e-01 +3.19734424999999975e-02 +6.35680177999999952e-04
 66  Dy  +4.39694951999999972e+00 +1.65019746999999994e+00 +1.20863728000000004e+00 +5.25306661999999994e-02 +1.85068348000000003e-04  +1.26920342000000002e+01 +1.63629690000000005e+00 +4.11527472999999977e-01 +3.04304260000000000e-02 +6.16178059999999972e-04
 67  Ho  +4.24169485000000002e+00 +1.68076078999999989e+00 +1.19505598000000002e+00 +4.93096665000000017e-02 +1.78712503000000002e-04  +1.26191112000000007e+01 +1.63448064000000004e+00 +3.92343586999999994e-01 +2.89248374000000003e-02 +5.97541879000000001e-04
